Muertes,Muertes - Hombres,Muertes - Mujeres
0.706989247311828,0.5824742268041238,0.6692307692307693
0.5053763440860216,0.4742268041237113,0.25384615384615383
0.3870967741935484,0.28865979381443296,0.1923076923076923
0.467741935483871,0.38659793814432986,0.27692307692307694
0.6155913978494624,0.4948453608247423,0.5384615384615385
0.6048387096774194,0.5051546391752577,0.49230769230769234
0.16935483870967744,0.0,0.0
0.49193548387096775,0.4072164948453608,0.3153846153846154
0.5161290322580646,0.365979381443299,0.44615384615384623
0.5725806451612904,0.4278350515463918,0.5153846153846154
0.31720430107526887,0.21134020618556704,0.10769230769230775
0.456989247311828,0.38659793814432986,0.24615384615384617
0.4623655913978495,0.37628865979381443,0.27692307692307694
0.870967741935484,0.731958762886598,0.9153846153846155
0.4623655913978495,0.38659793814432986,0.2615384615384616
0.4408602150537635,0.35567010309278346,0.24615384615384617
0.7419354838709679,0.5567010309278351,0.8076923076923077
0.6129032258064516,0.4896907216494846,0.5384615384615385
0.435483870967742,0.3298969072164949,0.2692307692307693
0.9112903225806454,0.7525773195876289,1.0
0.21505376344086025,0.041237113402061876,0.06923076923076926
0.4516129032258065,0.41237113402061853,0.1923076923076923
1.0,1.0,0.8846153846153846
0.42741935483870974,0.31443298969072164,0.2692307692307693
0.4301075268817205,0.31958762886597936,0.2692307692307693
0.3548387096774194,0.19587628865979378,0.2384615384615385
0.6881720430107527,0.5515463917525774,0.6615384615384616
0.4838709677419355,0.35567010309278346,0.36923076923076925
0.6290322580645162,0.4690721649484536,0.6153846153846154
0.2016129032258065,0.04639175257731959,0.023076923076923106
0.45967741935483875,0.34536082474226804,0.3153846153846154
0.631720430107527,0.4639175257731959,0.6307692307692307
0.2849462365591398,0.14948453608247425,0.10769230769230775
0.5107526881720431,0.39175257731958757,0.39230769230769236
0.3682795698924732,0.22680412371134018,0.23076923076923084
0.3145161290322581,0.19587628865979378,0.12307692307692308
