Nacidos,Nacidos - Hombres,Nacidas - Mujeres
0.6906290115532734,0.4112149532710281,0.5039370078740157
0.8793324775353016,0.733644859813084,0.811023622047244
0.6829268292682926,0.47663551401869153,0.4251968503937007
0.8023106546854942,0.6962616822429908,0.6062992125984252
0.9396662387676508,1.0,0.7716535433070866
0.9525032092426188,0.7757009345794392,1.0
0.4159178433889602,0.009345794392523477,0.0
0.9370988446726572,0.9532710280373831,0.8031496062992125
0.6944801026957638,0.3831775700934581,0.5393700787401574
0.9589216944801026,1.0,0.8307086614173227
0.5917843388960206,0.18224299065420557,0.39370078740157477
0.7471116816431322,0.43457943925233655,0.6574803149606299
0.7779204107830552,0.6074766355140186,0.6062992125984252
0.521181001283697,0.07943925233644866,0.2637795275590551
0.8125802310654685,0.691588785046729,0.6417322834645669
0.8048780487804877,0.5934579439252337,0.700787401574803
0.631578947368421,0.33644859813084116,0.3858267716535433
0.8947368421052632,0.8504672897196262,0.7598425196850394
0.6906290115532734,0.39252336448598135,0.5196850393700787
0.5224646983311938,0.12149532710280386,0.23228346456692905
0.6854942233632862,0.43925233644859807,0.46456692913385833
0.8177150192554556,0.6308411214953271,0.7086614173228345
0.5686777920410783,0.16355140186915884,0.3385826771653544
0.6110397946084724,0.28971962616822444,0.36220472440944884
0.9460847240051348,0.8691588785046729,0.9015748031496063
0.5789473684210527,0.22429906542056077,0.31889763779527547
0.8228498074454429,0.6214953271028039,0.7322834645669292
0.772785622593068,0.6308411214953271,0.5708661417322833
0.9216944801026957,0.8738317757009346,0.8228346456692912
0.47881899871630296,0.0420560747663552,0.16535433070866135
0.8382541720154043,0.719626168224299,0.6968503937007873
0.7227214377406932,0.49065420560747675,0.5354330708661417
0.6174582798459564,0.28037383177570097,0.38976377952755903
0.9999999999999999,0.957943925233645,0.9921259842519685
0.7804878048780487,0.7242990654205608,0.515748031496063
0.48267008985879334,0.0,0.21259842519685035
